timestamp,error_type,cleaned_message,Source,Destination
2026-04-25 20:09:10.385638000,UDP,4997    36724 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385639000,UDP,4997    60144 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385639000,UDP,4997    47548 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385639000,UDP,4997    51841 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385642000,UDP,4997    35703 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.434476000,HTTP2,headers809,192.168.0.13,192.168.0.12
2026-04-25 20:09:10.434476000,HTTP2,data809,192.168.0.13,192.168.0.12
2026-04-25 20:09:10.434598000,TCP,7777    40870 ack seq1 ack147 win501 len0 tsval3028933711 tsecr3012151319,192.168.0.12,192.168.0.13
2026-04-25 20:09:10.434654000,HTTP2,headers809 204 no content,192.168.0.12,192.168.0.13
2026-04-25 20:09:10.434707000,TCP,40870    7777 ack seq147 ack36 win501 len0 tsval3012151319 tsecr3028933711,192.168.0.13,192.168.0.12
2026-04-25 20:09:10.459148000,SCTP,heartbeat ,192.168.0.13,192.168.0.22
2026-04-25 20:09:10.459215000,SCTP,heartbeatack ,192.168.0.22,192.168.0.13
2026-04-25 20:09:10.463947000,HTTP2,headers207991,192.168.0.15,192.168.0.12
2026-04-25 20:09:10.463947000,HTTP2,data207991,192.168.0.15,192.168.0.12
2026-04-25 20:09:10.464021000,TCP,7777    39368 ack seq1 ack147 win630 len0 tsval4079993370 tsecr978997091,192.168.0.12,192.168.0.15
2026-04-25 20:09:10.465778000,HTTP2,headers207991 204 no content,192.168.0.12,192.168.0.15
2026-04-25 20:09:10.465845000,TCP,39368    7777 ack seq147 ack36 win602 len0 tsval978997093 tsecr4079993370,192.168.0.15,192.168.0.12
2026-04-25 20:09:11.387252000,UDP,36724    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387252000,UDP,36647    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387253000,UDP,50465    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387253000,UDP,47548    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387253000,UDP,49066    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387253000,UDP,58580    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387253000,UDP,47439    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387253000,UDP,60144    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387262000,UDP,48785    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387262000,UDP,51841    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387262000,UDP,36356    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387262000,UDP,36317    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387262000,UDP,35703    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387262000,UDP,47863    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387262000,UDP,34125    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:11.387568000,UDP,4997    36724 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387568000,UDP,4997    36647 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387568000,UDP,4997    50465 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387568000,UDP,4997    47548 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387568000,UDP,4997    49066 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387568000,UDP,4997    58580 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387568000,UDP,4997    47439 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387568000,UDP,4997    60144 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387574000,UDP,4997    48785 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387574000,UDP,4997    51841 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387574000,UDP,4997    36356 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387574000,UDP,4997    36317 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387574000,UDP,4997    35703 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387574000,UDP,4997    47863 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.387574000,UDP,4997    34125 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:11.543449000,HTTP2,headers208119,192.168.0.14,192.168.0.12
2026-04-25 20:09:11.543449000,HTTP2,data208119,192.168.0.14,192.168.0.12
2026-04-25 20:09:11.543912000,TCP,7777    48588 ack seq1 ack148 win657 len0 tsval2398691214 tsecr3161457288,192.168.0.12,192.168.0.14
2026-04-25 20:09:11.543912000,HTTP2,headers208119 204 no content,192.168.0.12,192.168.0.14
2026-04-25 20:09:11.544586000,TCP,48588    7777 ack seq148 ack36 win672 len0 tsval3161457289 tsecr2398691214,192.168.0.14,192.168.0.12
2026-04-25 20:09:12.206823000,HTTP2,headers207989,192.168.0.16,192.168.0.12
2026-04-25 20:09:12.206823000,HTTP2,data207989,192.168.0.16,192.168.0.12
2026-04-25 20:09:12.206823000,TCP,7777    51050 ack seq1 ack147 win773 len0 tsval3659425117 tsecr3433020048,192.168.0.12,192.168.0.16
2026-04-25 20:09:12.206823000,HTTP2,headers207989 204 no content,192.168.0.12,192.168.0.16
2026-04-25 20:09:12.206823000,TCP,51050    7777 ack seq147 ack36 win602 len0 tsval3433020049 tsecr3659425117,192.168.0.16,192.168.0.12
2026-04-25 20:09:12.389098000,UDP,36724    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389098000,UDP,60144    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389098000,UDP,36317    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389098000,UDP,50465    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389098000,UDP,58580    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389098000,UDP,49066    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389098000,UDP,35703    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389098000,UDP,36647    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389109000,UDP,36356    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389109000,UDP,48785    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389109000,UDP,47439    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389109000,UDP,34125    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389109000,UDP,47863    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389109000,UDP,47548    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389109000,UDP,51841    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:12.389112000,UDP,4997    36724 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389113000,UDP,4997    60144 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389128000,UDP,4997    36317 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389272000,UDP,4997    50465 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389272000,UDP,4997    58580 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389272000,UDP,4997    49066 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389272000,UDP,4997    35703 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389272000,UDP,4997    36647 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389272000,UDP,4997    36356 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389272000,UDP,4997    48785 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389272000,UDP,4997    47439 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389277000,UDP,4997    34125 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389277000,UDP,4997    47863 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389277000,UDP,4997    47548 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:12.389277000,UDP,4997    51841 len17,192.168.0.22,192.168.0.23
