"No.","Time","Source","Destination","Protocol","Length","Info"
"288","20:09:12.389277000","192.168.0.22","192.168.0.23","UDP","59","4997  >  47863 Len=17"
"289","20:09:12.389277000","192.168.0.22","192.168.0.23","UDP","59","4997  >  47548 Len=17"
"290","20:09:12.389277100","192.168.0.22","192.168.0.23","UDP","59","4997  >  51841 Len=17"
"305","20:09:13.392487700","192.168.0.23","192.168.0.22","UDP","67","47863  >  4997 Len=25"
"306","20:09:13.392487800","192.168.0.23","192.168.0.22","UDP","67","49066  >  4997 Len=25"
"307","20:09:13.392487900","192.168.0.23","192.168.0.22","UDP","67","47548  >  4997 Len=25"
"308","20:09:13.392487900","192.168.0.23","192.168.0.22","UDP","67","36317  >  4997 Len=25"
"309","20:09:13.392487900","192.168.0.23","192.168.0.22","UDP","67","58580  >  4997 Len=25"
"310","20:09:13.392487900","192.168.0.23","192.168.0.22","UDP","67","35703  >  4997 Len=25"
"311","20:09:13.392487900","192.168.0.23","192.168.0.22","UDP","67","36647  >  4997 Len=25"
"312","20:09:13.392488000","192.168.0.23","192.168.0.22","UDP","67","51841  >  4997 Len=25"
"313","20:09:13.392499200","192.168.0.23","192.168.0.22","UDP","67","60144  >  4997 Len=25"
"314","20:09:13.392499200","192.168.0.23","192.168.0.22","UDP","67","48785  >  4997 Len=25"
"315","20:09:13.392499200","192.168.0.23","192.168.0.22","UDP","67","36724  >  4997 Len=25"
"316","20:09:13.392499300","192.168.0.23","192.168.0.22","UDP","67","47439  >  4997 Len=25"
"317","20:09:13.392499300","192.168.0.23","192.168.0.22","UDP","67","34125  >  4997 Len=25"
"318","20:09:13.392499300","192.168.0.23","192.168.0.22","UDP","67","36356  >  4997 Len=25"
"319","20:09:13.392499300","192.168.0.23","192.168.0.22","UDP","67","50465  >  4997 Len=25"
"320","20:09:13.392651400","192.168.0.22","192.168.0.23","UDP","59","4997  >  47863 Len=17"
"321","20:09:13.392651400","192.168.0.22","192.168.0.23","UDP","59","4997  >  49066 Len=17"
"322","20:09:13.392651500","192.168.0.22","192.168.0.23","UDP","59","4997  >  47548 Len=17"
"323","20:09:13.392651500","192.168.0.22","192.168.0.23","UDP","59","4997  >  36317 Len=17"
"324","20:09:13.392651500","192.168.0.22","192.168.0.23","UDP","59","4997  >  58580 Len=17"
"325","20:09:13.392651500","192.168.0.22","192.168.0.23","UDP","59","4997  >  35703 Len=17"
"326","20:09:13.392651600","192.168.0.22","192.168.0.23","UDP","59","4997  >  36647 Len=17"
"327","20:09:13.392651600","192.168.0.22","192.168.0.23","UDP","59","4997  >  51841 Len=17"
"328","20:09:13.392654000","192.168.0.22","192.168.0.23","UDP","59","4997  >  60144 Len=17"
"329","20:09:13.392693400","192.168.0.22","192.168.0.23","UDP","59","4997  >  48785 Len=17"
"330","20:09:13.392693400","192.168.0.22","192.168.0.23","UDP","59","4997  >  36724 Len=17"
"331","20:09:13.392693400","192.168.0.22","192.168.0.23","UDP","59","4997  >  47439 Len=17"
"332","20:09:13.392693500","192.168.0.22","192.168.0.23","UDP","59","4997  >  34125 Len=17"
"333","20:09:13.392693500","192.168.0.22","192.168.0.23","UDP","59","4997  >  36356 Len=17"
"334","20:09:13.392695800","192.168.0.22","192.168.0.23","UDP","59","4997  >  50465 Len=17"
"343","20:09:14.037364100","192.168.0.20","192.168.0.12","HTTP2","131","HEADERS[207961]"
"344","20:09:14.037364300","192.168.0.20","192.168.0.12","HTTP2","147","DATA[207961]"
"345","20:09:14.037552200","192.168.0.12","192.168.0.20","TCP","66","7777  >  43340 [ACK] Seq=1 Ack=147 Win=501 Len=0 TSval=1600748776 TSecr=3424721035"
"346","20:09:14.038032900","192.168.0.12","192.168.0.20","HTTP2","101","HEADERS[207961]: 204 No Content"
"347","20:09:14.038032900","192.168.0.20","192.168.0.12","TCP","66","43340  >  7777 [ACK] Seq=147 Ack=36 Win=501 Len=0 TSval=3424721036 TSecr=1600748776"
"356","20:09:14.394498800","192.168.0.23","192.168.0.22","UDP","67","36317  >  4997 Len=25"
"357","20:09:14.394498900","192.168.0.23","192.168.0.22","UDP","67","47863  >  4997 Len=25"
"358","20:09:14.394499000","192.168.0.23","192.168.0.22","UDP","67","50465  >  4997 Len=25"
"359","20:09:14.394499000","192.168.0.23","192.168.0.22","UDP","67","35703  >  4997 Len=25"
"360","20:09:14.394499000","192.168.0.23","192.168.0.22","UDP","67","36356  >  4997 Len=25"
"361","20:09:14.394499000","192.168.0.23","192.168.0.22","UDP","67","34125  >  4997 Len=25"
"362","20:09:14.394499100","192.168.0.23","192.168.0.22","UDP","67","58580  >  4997 Len=25"
"363","20:09:14.394499100","192.168.0.23","192.168.0.22","UDP","67","47548  >  4997 Len=25"
"364","20:09:14.394510600","192.168.0.23","192.168.0.22","UDP","67","36647  >  4997 Len=25"
"365","20:09:14.394510600","192.168.0.23","192.168.0.22","UDP","67","47439  >  4997 Len=25"
"366","20:09:14.394510700","192.168.0.23","192.168.0.22","UDP","67","48785  >  4997 Len=25"
"367","20:09:14.394510700","192.168.0.23","192.168.0.22","UDP","67","49066  >  4997 Len=25"
"368","20:09:14.394510700","192.168.0.23","192.168.0.22","UDP","67","51841  >  4997 Len=25"
"369","20:09:14.394510700","192.168.0.23","192.168.0.22","UDP","67","60144  >  4997 Len=25"
"370","20:09:14.394510700","192.168.0.23","192.168.0.22","UDP","67","36724  >  4997 Len=25"
"371","20:09:14.394652100","192.168.0.22","192.168.0.23","UDP","59","4997  >  36317 Len=17"
"372","20:09:14.394652200","192.168.0.22","192.168.0.23","UDP","59","4997  >  47863 Len=17"
"373","20:09:14.394652200","192.168.0.22","192.168.0.23","UDP","59","4997  >  50465 Len=17"
"374","20:09:14.394652200","192.168.0.22","192.168.0.23","UDP","59","4997  >  35703 Len=17"
"375","20:09:14.394652200","192.168.0.22","192.168.0.23","UDP","59","4997  >  36356 Len=17"
"376","20:09:14.394652300","192.168.0.22","192.168.0.23","UDP","59","4997  >  34125 Len=17"
"377","20:09:14.394652300","192.168.0.22","192.168.0.23","UDP","59","4997  >  58580 Len=17"
"378","20:09:14.394652300","192.168.0.22","192.168.0.23","UDP","59","4997  >  47548 Len=17"
"379","20:09:14.394657500","192.168.0.22","192.168.0.23","UDP","59","4997  >  36647 Len=17"
"380","20:09:14.394657600","192.168.0.22","192.168.0.23","UDP","59","4997  >  47439 Len=17"
"381","20:09:14.394657600","192.168.0.22","192.168.0.23","UDP","59","4997  >  48785 Len=17"
